iso3,pays,score_LAN,score_GEO,score_RES,score_VUL,score_HIST,score_MON,score_REP,score_NOR,score_SP,score_POIDS,score_MOB,score_ECO,total,pib_mds_usd,annee_pib,part_pib_mondial_pct,idh,annee_idh,rente_ressources_mds_usd,ndgain_vulnerabilite,henley_destinations,softpower_rang,co2_cumule_t_par_hab
USA,États-Unis,3,3,3,3,3,3,3,3,3,3,3,3,36,29298.0,2024,26.24,0.938,2023,375.0,0.312,179,1,1279
GBR,Royaume-Uni,3,3,2,3,3,3,3,3,3,2,3,3,34,3695.5,2024,3.31,0.946,2023,21.7,0.288,183,4,1156
CAN,Canada,3,3,3,3,2,2,2,2,3,2,3,3,31,2270.1,2024,2.03,0.939,2023,112.3,0.282,182,8,864
FRA,France,2,3,0,3,3,3,3,3,3,2,3,2,30,3160.4,2024,2.83,0.92,2023,1.0,0.304,185,6,584
DEU,Allemagne,1,3,1,3,2,3,2,3,3,3,3,3,30,4685.6,2024,4.2,0.959,2023,3.6,0.301,185,5,1139
AUS,Australie,3,3,3,3,2,2,2,2,2,2,3,3,30,1757.0,2024,1.57,0.958,2023,234.7,0.316,182,16,737
ESP,Espagne,2,3,0,3,3,3,2,2,2,2,3,2,27,1725.7,2024,1.55,0.918,2023,2.0,0.305,185,12,321
JPN,Japon,1,3,0,2,2,3,2,3,3,3,3,2,27,4190.0,2024,3.75,0.925,2023,2.0,0.369,187,3,562
ITA,Italie,1,3,0,3,2,3,2,2,3,2,3,2,26,2383.4,2024,2.13,0.915,2023,2.7,0.342,185,9,441
NLD,Pays-Bas,1,3,1,2,2,3,2,2,2,2,3,3,26,1213.9,2024,1.09,0.955,2023,4.1,0.354,185,15,681
BEL,Belgique,2,3,0,3,2,3,1,2,2,1,3,3,25,671.0,2024,0.6,0.951,2023,0.3,0.335,185,22,1088
RUS,Russie,1,2,3,3,2,1,3,2,2,2,1,3,25,2186.5,2024,1.96,0.832,2023,404.7,0.324,113,14,855
CHN,Chine,1,3,3,2,1,2,3,2,3,3,1,1,25,18729.7,2024,16.77,0.797,2023,319.8,0.382,82,2,202
PRT,Portugal,2,3,0,3,2,3,1,2,2,1,3,2,24,313.7,2024,0.28,0.89,2023,0.9,0.318,184,27,259
IRL,Irlande,3,3,0,3,1,3,1,2,2,1,3,2,24,609.2,2024,0.55,0.949,2023,0.6,0.316,185,28,439
NZL,Nouvelle-Zélande,3,2,1,3,2,2,1,2,2,1,3,2,24,261.5,2024,0.23,0.938,2023,3.9,0.304,182,26,380
ARE,Émirats arabes unis,2,3,2,2,1,2,1,2,3,1,3,2,24,552.3,2024,0.49,0.94,2023,97.4,0.383,187,10,530
BRA,Brésil,2,3,3,2,1,2,2,2,2,2,2,1,24,2185.8,2024,1.96,0.786,2023,173.6,0.369,168,29,86
CHE,Suisse,2,1,0,3,1,3,1,3,3,1,3,2,23,969.9,2024,0.87,0.97,2023,0.1,0.251,185,7,351
NOR,Norvège,1,3,2,3,1,2,1,2,2,1,3,2,23,500.9,2024,0.45,0.97,2023,50.3,0.256,185,19,500
DNK,Danemark,1,3,0,3,2,2,1,2,2,1,3,3,23,424.5,2024,0.38,0.962,2023,1.4,0.347,185,18,703
AUT,Autriche,1,1,0,3,2,3,1,2,2,1,3,3,22,534.8,2024,0.48,0.93,2023,0.6,0.295,184,24,626
SWE,Suède,1,3,1,3,1,2,1,2,2,1,3,2,22,604.8,2024,0.54,0.959,2023,7.3,0.317,186,13,486
SAU,Arabie saoudite,2,2,3,2,1,2,2,1,2,2,1,2,22,1254.1,2024,1.12,0.9,2023,320.6,0.408,87,17,539
FIN,Finlande,1,2,0,3,1,3,1,2,2,1,3,2,21,298.7,2024,0.27,0.948,2023,1.3,0.28,185,23,592
SGP,Singapour,3,3,0,2,0,2,1,2,2,1,3,2,21,572.9,2024,0.51,0.946,2023,0.0,0.389,192,21,372
LUX,Luxembourg,2,1,0,3,1,3,1,2,2,0,3,3,21,93.3,2024,0.08,0.922,2023,0.0,0.311,185,30,1157
POL,Pologne,0,2,1,3,1,2,1,2,1,1,3,3,20,917.8,2024,0.82,0.906,2023,9.5,0.306,183,31,794
MEX,Mexique,2,3,2,2,1,1,2,1,1,2,2,1,20,1830.5,2024,1.64,0.789,2023,66.7,0.387,156,42,168
QAT,Qatar,2,2,2,2,1,2,1,1,2,1,1,3,20,216.3,2024,0.19,0.886,2023,59.0,0.351,111,20,907
CHL,Chili,2,2,2,3,1,2,1,1,1,1,3,1,20,329.3,2024,0.29,0.878,2023,55.7,0.332,174,56,168
GRC,Grèce,0,3,0,3,1,3,1,1,1,1,3,2,19,256.2,2024,0.23,0.908,2023,0.2,0.337,184,33,413
KOR,Corée du Sud,0,2,0,2,0,2,2,2,2,2,3,2,19,1875.4,2024,1.68,0.937,2023,0.9,0.357,187,11,400
ZAF,Afrique du Sud,2,2,2,2,1,2,2,1,1,1,1,2,19,401.1,2024,0.36,0.741,2023,29.4,0.395,100,43,357
MLT,Malte,3,3,0,3,0,3,1,2,0,0,3,1,19,25.0,2024,0.02,0.924,2023,0.0,0.32,184,69,196
CZE,Tchéquie,0,1,0,3,1,2,1,2,1,1,3,3,18,347.1,2024,0.31,0.915,2023,1.4,0.264,182,44,1131
